Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Honda,Civic,V CVT Petrol,Automatic (CVT),Petrol,1270000,26000,5,Ahmedabad
Toyota,Innova Crysta [2016-2020],2.8 ZX AT 7 STR [2016-2020],Automatic,Diesel,1920000,92600,6,Ahmedabad
Toyota,Corolla Altis [2014-2017],G,Manual,Diesel,821000,77000,9,Ahmedabad
Skoda,Kodiaq,L&K,Automatic (DCT),Petrol,3170000,29500,2,Ahmedabad
Maruti Suzuki,Ignis,Delta 1.2 MT,Manual,Petrol,496500,55656,6,Ahmedabad
Jeep,Compass [2017-2021],Limited Plus Petrol AT,Automatic (DCT),Petrol,1710000,11467,5,Ahmedabad
Hyundai,Santro,Magna,Manual,Petrol,467800,50000,5,Ahmedabad
Hyundai,Santro,Magna,Manual,Petrol,467800,50000,5,Kolkata
Hyundai,Grand i10,Asta 1.2 Kappa VTVT,Manual,Petrol,478800,38000,7,Ahmedabad
Hyundai,Santro,Magna,Manual,Petrol,468400,31200,5,Ahmedabad
Maruti Suzuki,XL6,Alpha MT Petrol,Manual,Petrol,1013000,22091,3,Ahmedabad
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,Manual,Petrol,520900,30175,3,Ahmedabad
Hyundai,Tucson [2016-2020],GL 2WD AT Diesel,Automatic,Diesel,1112000,75000,6,Ahmedabad
Volkswagen,Vento [2010-2012],Highline Diesel,Manual,Diesel,514800,78000,7,Ahmedabad
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,424300,93000,8,Ahmedabad
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,2170000,46000,8,Ahmedabad
Volvo,XC90 [2015-2021],D5 Inscription,Automatic (TC),Diesel,3310000,117000,8,Ahmedabad
Hyundai,Creta [2018-2019],SX 1.6 AT Petrol,Automatic,Petrol,1017000,60000,6,Ahmedabad
Hyundai,Creta [2015-2017],1.6 S Plus AT,Automatic,Diesel,882000,62000,8,Ahmedabad
Maruti Suzuki,Ciaz,Delta 1.3 Diesel,Manual,Diesel,547400,35000,6,Ahmedabad
Maruti Suzuki,Brezza,LXi,Manual,Petrol,673000,83000,3,Ahmedabad
Hyundai,i20 Active,1.2 S,Manual,Petrol,466300,71000,9,Ahmedabad
Maruti Suzuki,Vitara Brezza [2016-2020],VDi,Manual,Diesel,513100,68000,5,Ahmedabad
Hyundai,Tucson [2016-2020],2WD AT GLS Diesel,Automatic,Diesel,1270000,80000,7,Ahmedabad
Tata,Nexon [2017-2020],XZ,Manual,Petrol,586500,84000,5,Ahmedabad
Hyundai,Elantra [2016-2019],1.6 SX (O),Manual,Diesel,1097000,90000,6,Ahmedabad
Maruti Suzuki,Ciaz [2017-2018],Sigma 1.4 MT,Manual,Petrol,447000,51000,7,Ahmedabad
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,1297000,77000,10,Ahmedabad
Hyundai,Creta [2015-2017],1.6 SX,Manual,Diesel,892000,79000,8,Ahmedabad
MG,Hector [2019-2021],Sharp 2.0 Diesel,Manual,Diesel,1295000,64000,4,Ahmedabad
Maruti Suzuki,Ciaz [2017-2018],Delta 1.3 Hybrid,Manual,Diesel,672000,84000,4,Ahmedabad
Maruti Suzuki,S-Cross [2014-2017],Delta 1.6,Manual,Diesel,637000,85000,9,Ahmedabad
BMW,3 Series,320d Luxury Line,Automatic (TC),Diesel,2395000,50000,6,Ahmedabad
MG,Hector [2019-2021],Sharp 1.5 DCT Petrol,Automatic (DCT),Petrol,1312000,66000,5,Ahmedabad
Hyundai,Tucson [2016-2020],GL (O) 2WD AT Diesel,Automatic,Diesel,1670000,79000,4,Ahmedabad
Volvo,XC90 [2015-2021],D5 Inscription,Automatic (TC),Diesel,3410000,96000,8,Ahmedabad
Hyundai,i20 Active,1.2 S,Manual,Petrol,466500,65000,9,Ahmedabad
Toyota,Innova Crysta [2016-2020],2.8 GX AT 7 STR [2016-2020],Automatic,Diesel,1297000,85000,7,Ahmedabad
Hyundai,Elite i20 [2014-2015],Sportz 1.2,Manual,Petrol,603700,22000,2,Ahmedabad
